"Publication Date","Fiscal Year","Agency Number","Agency Name","Unit Appropriation Number","Unit Appropriation Name","Responsibility Center Code","Responsibility Center Name","Financial Plan Savings Flag","sum_adopted_budget_amount","sum_current_modified_budget_amount","sum_financial_plan_amount","sum_adopted_budget_position","sum_current_modified_budget_position","sum_financial_plan_position","sum_adopted_budget_number_of_contracts","sum_current_modified_budget_number_of_contracts","sum_financial_plan_number_of_contracts"
"20260512","2027","002","MAYORALTY","021","OFFICE OF THE MAYOR-OTPS",,,"N","457,000","476,300","709,000","0","0","0","1","1","1"
"20260217","2027","002","MAYORALTY","021","OFFICE OF THE MAYOR-OTPS",,,"N","457,000","462,400","709,000","0","0","0","1","1","1"
"20260512","2027","002","MAYORALTY","040","OFFICE OF MGMT AND BUDGET-PS","0001","OMB DIRECTOR & AGENCY SERVICES","N","13,293,451","13,293,451","16,294,677","94","94","94","0","0","0"
"20260217","2027","002","MAYORALTY","040","OFFICE OF MGMT AND BUDGET-PS","0001","OMB DIRECTOR & AGENCY SERVICES","N","13,293,451","13,293,451","16,294,677","94","94","94","0","0","0"
"20260512","2027","002","MAYORALTY","040","OFFICE OF MGMT AND BUDGET-PS","0002","DEP DIR: EXPENSE & CAPITAL TASKFORCES-R","N","7,320,176","7,320,176","7,320,480","71","71","71","0","0","0"
"20260217","2027","002","MAYORALTY","040","OFFICE OF MGMT AND BUDGET-PS","0002","DEP DIR: EXPENSE & CAPITAL TASKFORCES-R","N","7,320,176","7,320,176","7,320,480","71","71","71","0","0","0"
"20260512","2027","002","MAYORALTY","040","OFFICE OF MGMT AND BUDGET-PS","0003","DEP DIR: EXPENSE & CAPITAL TASKFORCES-L","N","4,193,660","4,193,660","4,193,774","40","40","40","0","0","0"
"20260217","2027","002","MAYORALTY","040","OFFICE OF MGMT AND BUDGET-PS","0003","DEP DIR: EXPENSE & CAPITAL TASKFORCES-L","N","4,193,660","4,193,660","4,193,774","40","40","40","0","0","0"
"20260512","2027","002","MAYORALTY","040","OFFICE OF MGMT AND BUDGET-PS","0004","1ST DEP DIR: OFFICE OF BUDGET REVIEW","N","26,391,677","24,974,573","23,899,949","207","192","214","0","0","0"
"20260217","2027","002","MAYORALTY","040","OFFICE OF MGMT AND BUDGET-PS","0004","1ST DEP DIR: OFFICE OF BUDGET REVIEW","N","26,391,677","24,974,573","23,224,822","207","207","207","0","0","0"
"20260512","2027","002","MAYORALTY","040","OFFICE OF MGMT AND BUDGET-PS","0005","DEP DIR: EXPENSE & CAPITAL TAKSFORCES-A","N","2,844,877","2,844,877","3,990,742","32","32","44","0","0","0"
"20260217","2027","002","MAYORALTY","040","OFFICE OF MGMT AND BUDGET-PS","0005","DEP DIR: EXPENSE & CAPITAL TAKSFORCES-A","N","2,844,877","2,844,877","3,990,742","32","32","44","0","0","0"
"20260512","2027","002","MAYORALTY","040","OFFICE OF MGMT AND BUDGET-PS",,,"Y","177,416","177,416","-664,573","0","0","-7","0","0","0"
"20260512","2027","002","MAYORALTY","040","OFFICE OF MGMT AND BUDGET-PS",,,"N","1,219,392","1,928,335","865,272","11","23","11","0","0","0"
"20260217","2027","002","MAYORALTY","040","OFFICE OF MGMT AND BUDGET-PS",,,"N","1,219,392","1,928,335","865,272","11","23","11","0","0","0"
"20260217","2027","002","MAYORALTY","040","OFFICE OF MGMT AND BUDGET-PS",,,"Y","177,416","177,416","177,427","0","0","0","0","0","0"
"20260512","2027","002","MAYORALTY","041","OFFICE OF MGMT AND BUDGET-OTPS","0001","OMB DIRECTOR & AGENCY SERVICES","N","11,361,689","11,361,689","11,718,574","0","0","0","23","23","23"
"20260217","2027","002","MAYORALTY","041","OFFICE OF MGMT AND BUDGET-OTPS","0001","OMB DIRECTOR & AGENCY SERVICES","N","11,361,689","11,361,689","11,310,972","0","0","0","23","23","23"
"20260512","2027","002","MAYORALTY","041","OFFICE OF MGMT AND BUDGET-OTPS",,,"Y","-557,902","-557,902","-551,902","0","0","0","0","0","0"
"20260512","2027","002","MAYORALTY","041","OFFICE OF MGMT AND BUDGET-OTPS",,,"N","502,790","733,812","500,000","0","0","0","0","0","0"
"20260217","2027","002","MAYORALTY","041","OFFICE OF MGMT AND BUDGET-OTPS",,,"N","502,790","733,812","500,000","0","0","0","0","0","0"
"20260217","2027","002","MAYORALTY","041","OFFICE OF MGMT AND BUDGET-OTPS",,,"Y","-557,902","-557,902","-461,902","0","0","0","0","0","0"
"20260512","2027","002","MAYORALTY","061","OFF OF LABOR RELATIONS-PS","0014","OFFICE OF LABOR RELATIONS","N","16,380,224","16,981,592","17,605,487","167","182","182","0","0","0"
"20260217","2027","002","MAYORALTY","061","OFF OF LABOR RELATIONS-PS","0014","OFFICE OF LABOR RELATIONS","N","16,380,224","16,981,592","17,605,487","167","182","182","0","0","0"
"20260512","2027","002","MAYORALTY","061","OFF OF LABOR RELATIONS-PS",,,"N","505,130","885,130","885,130","6","11","11","0","0","0"
"20260512","2027","002","MAYORALTY","061","OFF OF LABOR RELATIONS-PS",,,"Y","0","0","107,000","0","0","0","0","0","0"
"20260217","2027","002","MAYORALTY","061","OFF OF LABOR RELATIONS-PS",,,"N","505,130","505,130","505,130","6","6","6","0","0","0"
"20260512","2027","002","MAYORALTY","062","OFF OF LABOR RELATIONS-OTPS","0014","OFFICE OF LABOR RELATIONS","N","6,885,881","6,817,424","6,667,395","0","0","0","11","9","11"
"20260217","2027","002","MAYORALTY","062","OFF OF LABOR RELATIONS-OTPS","0014","OFFICE OF LABOR RELATIONS","N","6,885,881","6,797,424","6,660,332","0","0","0","11","9","11"
"20260512","2027","002","MAYORALTY","062","OFF OF LABOR RELATIONS-OTPS",,,"N","0","15,000","15,000","0","0","0","0","0","0"
"20260512","2027","002","MAYORALTY","062","OFF OF LABOR RELATIONS-OTPS",,,"Y","-232,487","0","0","0","0","0","0","0","0"
"20260217","2027","002","MAYORALTY","062","OFF OF LABOR RELATIONS-OTPS",,,"Y","-232,487","0","0","0","0","0","0","0","0"
"20260512","2027","002","MAYORALTY","070","NYC COMM TO THE UN-PS","0011","D/M FOR FINANCE AND ECO. DEV.","N","1,259,815","1,259,815","1,259,815","8","8","8","0","0","0"
"20260217","2027","002","MAYORALTY","070","NYC COMM TO THE UN-PS","0011","D/M FOR FINANCE AND ECO. DEV.","N","1,259,815","1,259,815","1,259,815","8","8","8","0","0","0"
"20260512","2027","002","MAYORALTY","071","NYC COMM TO THE UN-OTPS","0011","D/M FOR FINANCE AND ECO. DEV.","N","272,746","272,746","298,736","0","0","0","4","4","4"
"20260217","2027","002","MAYORALTY","071","NYC COMM TO THE UN-OTPS","0011","D/M FOR FINANCE AND ECO. DEV.","N","272,746","272,746","272,746","0","0","0","4","4","4"
"20260512","2027","002","MAYORALTY","090","MAYOR'S OFFICE OF CONTRACT SERVICES - PS","0028","D/M FOR OPERATIONS","N","81,000","81,000","81,000","0","0","0","0","0","0"
"20260217","2027","002","MAYORALTY","090","MAYOR'S OFFICE OF CONTRACT SERVICES - PS","0028","D/M FOR OPERATIONS","N","81,000","81,000","81,000","0","0","0","0","0","0"
"20260512","2027","002","MAYORALTY","090","MAYOR'S OFFICE OF CONTRACT SERVICES - PS",,,"N","23,248,186","26,194,399","25,769,430","212","246","242","0","0","0"
"20260512","2027","002","MAYORALTY","090","MAYOR'S OFFICE OF CONTRACT SERVICES - PS",,,"Y","3,023,000","0","-909,000","34","0","-8","0","0","0"
"20260217","2027","002","MAYORALTY","090","MAYOR'S OFFICE OF CONTRACT SERVICES - PS",,,"N","23,248,186","26,240,219","25,979,661","212","246","245","0","0","0"
"20260217","2027","002","MAYORALTY","090","MAYOR'S OFFICE OF CONTRACT SERVICES - PS",,,"Y","3,023,000","0","0","34","0","0","0","0","0"
"20260512","2027","002","MAYORALTY","091","MAYOR'S OFFICE OF CONTRACT SERVICES-OTPS",,,"Y","10,933,836","0","10,725","0","0","0","0","0","0"
"20260512","2027","002","MAYORALTY","091","MAYOR'S OFFICE OF CONTRACT SERVICES-OTPS",,,"N","11,790,232","23,274,855","14,905,871","0","0","0","6","11","6"
"20260217","2027","002","MAYORALTY","091","MAYOR'S OFFICE OF CONTRACT SERVICES-OTPS",,,"N","11,790,232","23,229,035","13,532,243","0","0","0","6","11","6"
"20260217","2027","002","MAYORALTY","091","MAYOR'S OFFICE OF CONTRACT SERVICES-OTPS",,,"Y","10,933,836","0","0","0","0","0","0","0","0"
"20260512","2027","002","MAYORALTY","100","OFFICE OF MASS ENGAGEMENT-PS",,,"N","0","0","5,123,756","0","0","40","0","0","0"
"20260512","2027","002","MAYORALTY","101","OFFICE OF MASS ENGAGEMENT-OTPS",,,"N","0","0","30,000","0","0","0","0","0","1"
"20260512","2027","002","MAYORALTY","260","OFF FOR PEOPLE WITH DISAB-PS","0008","D/M FOR HUMAN SVC","N","512,678","512,678","512,678","5","5","5","0","0","0"
"20260217","2027","002","MAYORALTY","260","OFF FOR PEOPLE WITH DISAB-PS","0008","D/M FOR HUMAN SVC","N","512,678","512,678","512,678","5","5","5","0","0","0"
"20260512","2027","002","MAYORALTY","260","OFF FOR PEOPLE WITH DISAB-PS",,,"N","143,004","143,004","143,004","1","1","1","0","0","0"
"20260217","2027","002","MAYORALTY","260","OFF FOR PEOPLE WITH DISAB-PS",,,"N","143,004","143,004","143,004","1","1","1","0","0","0"
"20260512","2027","002","MAYORALTY","261","OFF FOR PEOPLE WITH DISAB-OTPS","0008","D/M FOR HUMAN SVC","N","22,975","22,975","22,975","0","0","0","1","1","1"
"20260217","2027","002","MAYORALTY","261","OFF FOR PEOPLE WITH DISAB-OTPS","0008","D/M FOR HUMAN SVC","N","22,975","22,975","22,975","0","0","0","1","1","1"
"20260512","2027","002","MAYORALTY","261","OFF FOR PEOPLE WITH DISAB-OTPS",,,"N","0","25,000","0","0","0","0","0","1","0"
"20260217","2027","002","MAYORALTY","261","OFF FOR PEOPLE WITH DISAB-OTPS",,,"N","0","25,000","0","0","0","0","0","1","0"
"20260512","2027","002","MAYORALTY","340","COMMUNITY AFFAIRS UNIT-PS","0007","D/M FOR PLANNING/COMMUNITY REL","N","2,323,756","2,323,756","0","20","20","0","0","0","0"
"20260217","2027","002","MAYORALTY","340","COMMUNITY AFFAIRS UNIT-PS","0007","D/M FOR PLANNING/COMMUNITY REL","N","2,323,756","2,323,756","2,323,756","20","20","20","0","0","0"
"20260512","2027","002","MAYORALTY","341","COMMUNITY AFFAIRS UNIT-OTPS","0007","D/M FOR PLANNING/COMMUNITY REL","N","30,000","30,000","0","0","0","0","1","2","0"
"20260217","2027","002","MAYORALTY","341","COMMUNITY AFFAIRS UNIT-OTPS","0007","D/M FOR PLANNING/COMMUNITY REL","N","30,000","30,000","30,000","0","0","0","1","2","1"
"20260512","2027","002","MAYORALTY","350","COMMISSION ON GENDER EQUITY-PS","0007","D/M FOR PLANNING/COMMUNITY REL","N","683,569","683,569","683,569","7","7","7","0","0","0"
"20260217","2027","002","MAYORALTY","350","COMMISSION ON GENDER EQUITY-PS","0007","D/M FOR PLANNING/COMMUNITY REL","N","683,569","683,569","683,569","7","7","7","0","0","0"
"20260512","2027","002","MAYORALTY","351","COMMISSION ON GENDER EQUITY-OTPS","0007","D/M FOR PLANNING/COMMUNITY REL","N","152,171","152,171","152,171","0","0","0","0","0","0"
"20260217","2027","002","MAYORALTY","351","COMMISSION ON GENDER EQUITY-OTPS","0007","D/M FOR PLANNING/COMMUNITY REL","N","152,171","152,171","152,171","0","0","0","0","0","0"
"20260512","2027","002","MAYORALTY","380","OFFICE OF OPERATIONS-PS","0028","D/M FOR OPERATIONS","N","3,203,913","3,217,738","3,217,738","30","30","30","0","0","0"
"20260217","2027","002","MAYORALTY","380","OFFICE OF OPERATIONS-PS","0028","D/M FOR OPERATIONS","N","3,203,913","3,217,738","2,618,062","30","30","27","0","0","0"
"20260512","2027","002","MAYORALTY","380","OFFICE OF OPERATIONS-PS",,,"N","3,288,092","3,288,092","3,288,092","25","25","25","0","0","0"
"20260217","2027","002","MAYORALTY","380","OFFICE OF OPERATIONS-PS",,,"N","3,288,092","3,288,092","3,288,092","25","25","25","0","0","0"
"20260512","2027","002","MAYORALTY","381","OFFICE OF OPERATIONS-OTPS","0028","D/M FOR OPERATIONS","N","107,435","107,435","107,435","0","0","0","5","7","5"
"20260217","2027","002","MAYORALTY","381","OFFICE OF OPERATIONS-OTPS","0028","D/M FOR OPERATIONS","N","107,435","107,435","107,435","0","0","0","5","6","5"
"20260512","2027","002","MAYORALTY","381","OFFICE OF OPERATIONS-OTPS",,,"N","30,000","20,000","30,000","0","0","0","0","1","0"
"20260217","2027","002","MAYORALTY","381","OFFICE OF OPERATIONS-OTPS",,,"N","30,000","30,000","30,000","0","0","0","0","1","0"
"20260512","2027","002","MAYORALTY","561","SPECIAL ENFORCEMENT-OTPS","0007","D/M FOR PLANNING/COMMUNITY REL","N","8","8","8","0","0","0","0","0","0"
"20260217","2027","002","MAYORALTY","561","SPECIAL ENFORCEMENT-OTPS","0007","D/M FOR PLANNING/COMMUNITY REL","N","8","8","8","0","0","0","0","0","0"
"20260512","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","0001","EXECUTIVE MANAGEMENT","N","356,067","356,067","356,067","2","2","2","0","0","0"
"20260217","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","0001","EXECUTIVE MANAGEMENT","N","356,067","356,067","356,067","2","2","2","0","0","0"
"20260512","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","0002","DEPARTMENTAL OPERATIONS","N","44,023,959","44,023,959","44,023,959","102","102","102","0","0","0"
"20260217","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","0002","DEPARTMENTAL OPERATIONS","N","44,023,959","44,023,959","44,023,959","102","102","102","0","0","0"
"20260512","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","0003","FINANCE OFFICE","N","623,575","623,575","623,575","7","7","7","0","0","0"
"20260217","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","0003","FINANCE OFFICE","N","623,575","623,575","623,575","7","7","7","0","0","0"
"20260512","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","0004","DATA PROCESSING","N","3,423,487","3,423,487","3,423,487","37","37","37","0","0","0"
"20260217","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","0004","DATA PROCESSING","N","3,423,487","3,423,487","3,423,487","37","37","37","0","0","0"
"20260512","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","0005","CHIEF CLERK - BROOKLYN","N","5,619,785","5,619,785","5,619,785","95","95","95","0","0","0"
"20260217","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","0005","CHIEF CLERK - BROOKLYN","N","5,619,785","5,619,785","5,619,785","95","95","95","0","0","0"
"20260512","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","0006","CHIEF CLERK - QUEENS","N","4,161,656","4,161,656","4,161,656","80","80","80","0","0","0"
"20260217","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","0006","CHIEF CLERK - QUEENS","N","4,161,656","4,161,656","4,161,656","80","80","80","0","0","0"
"20260512","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","0007","CHIEF CLERK - BRONX","N","3,689,624","3,689,624","3,689,624","62","62","62","0","0","0"
"20260217","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","0007","CHIEF CLERK - BRONX","N","3,689,624","3,689,624","3,689,624","62","62","62","0","0","0"
"20260512","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","0008","CHIEF CLERK - MANHATTAN","N","4,661,610","4,661,610","4,661,610","88","88","88","0","0","0"
"20260217","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","0008","CHIEF CLERK - MANHATTAN","N","4,661,610","4,661,610","4,661,610","88","88","88","0","0","0"
"20260512","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","0009","CHIEF CLERK - RICHMOND","N","2,163,948","2,163,948","2,163,948","44","44","44","0","0","0"
"20260217","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES","0009","CHIEF CLERK - RICHMOND","N","2,163,948","2,163,948","2,163,948","44","44","44","0","0","0"
"20260512","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES",,,"Y","0","0","57,100,000","0","0","0","0","0","0"
"20260512","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES",,,"N","1,130,000","1,130,000","1,130,000","0","0","0","0","0","0"
"20260217","2027","003","BOARD OF ELECTIONS","001","PERSONAL SERVICES",,,"N","1,130,000","1,130,000","1,130,000","0","0","0","0","0","0"
"20260512","2027","003","BOARD OF ELECTIONS","002","OTHER THAN PERSONAL SERVICES","0002","DEPARTMENTAL OPERATIONS","N","36,547,222","102,518,507","36,737,673","0","0","0","37","33","37"
"20260217","2027","003","BOARD OF ELECTIONS","002","OTHER THAN PERSONAL SERVICES","0002","DEPARTMENTAL OPERATIONS","N","36,547,222","92,246,146","36,547,222","0","0","0","37","33","37"
"20260512","2027","003","BOARD OF ELECTIONS","002","OTHER THAN PERSONAL SERVICES","0003","FINANCE OFFICE","N","40,475,389","40,475,389","43,282,469","0","0","0","0","0","0"
"20260217","2027","003","BOARD OF ELECTIONS","002","OTHER THAN PERSONAL SERVICES","0003","FINANCE OFFICE","N","40,475,389","40,475,389","40,475,389","0","0","0","0","0","0"
"20260512","2027","003","BOARD OF ELECTIONS","002","OTHER THAN PERSONAL SERVICES",,,"Y","-1,174","1,557,541","-1,174","0","0","0","0","0","0"
"20260512","2027","003","BOARD OF ELECTIONS","002","OTHER THAN PERSONAL SERVICES",,,"N","0","2,242,423","0","0","0","0","0","0","0"
"20260217","2027","003","BOARD OF ELECTIONS","002","OTHER THAN PERSONAL SERVICES",,,"Y","-1,174","-20,700,098","-1,174","0","0","0","0","0","0"
"20260512","2027","004","CAMPAIGN FINANCE BOARD","001","PERSONAL SERVICES","0001","EXECUTIVE DIRECTOR","N","651,639","651,639","426,216","2","2","1","0","0","0"
"20260217","2027","004","CAMPAIGN FINANCE BOARD","001","PERSONAL SERVICES","0001","EXECUTIVE DIRECTOR","N","651,639","651,639","7,666,255","2","2","93","0","0","0"
"20260512","2027","004","CAMPAIGN FINANCE BOARD","001","PERSONAL SERVICES",,,"N","26,744,771","26,744,771","28,161,803","256","256","257","0","0","0"
"20260217","2027","004","CAMPAIGN FINANCE BOARD","001","PERSONAL SERVICES",,,"N","26,744,771","26,744,771","1,956,169","256","256","0","0","0","0"
"20260217","2027","004","CAMPAIGN FINANCE BOARD","001","PERSONAL SERVICES",,,"Y","0","0","-963,155","0","0","-6","0","0","0"
"20260512","2027","004","CAMPAIGN FINANCE BOARD","002","OTHER THAN PERSONAL SERVICES","0001","EXECUTIVE DIRECTOR","N","5,545,492","5,547,124","4,963,055","0","0","0","9","10","10"
"20260217","2027","004","CAMPAIGN FINANCE BOARD","002","OTHER THAN PERSONAL SERVICES","0001","EXECUTIVE DIRECTOR","N","5,545,492","5,523,892","5,670,780","0","0","0","9","9","27"
"20260512","2027","004","CAMPAIGN FINANCE BOARD","002","OTHER THAN PERSONAL SERVICES",,,"N","54,339,335","54,332,703","53,258,009","0","0","0","0","1","0"
"20260217","2027","004","CAMPAIGN FINANCE BOARD","002","OTHER THAN PERSONAL SERVICES",,,"Y","0","0","-1,853,000","0","0","0","0","0","0"
"20260217","2027","004","CAMPAIGN FINANCE BOARD","002","OTHER THAN PERSONAL SERVICES",,,"N","54,339,335","54,360,935","0","0","0","0","0","1","0"
"20260512","2027","004","CAMPAIGN FINANCE BOARD","003","ELECTION FUNDING",,,"N","22,200,000","36,605,000","17,284,008","0","0","0","0","0","0"
"20260217","2027","004","CAMPAIGN FINANCE BOARD","003","ELECTION FUNDING",,,"N","22,200,000","36,605,000","1,000,000","0","0","0","0","0","0"
"20260512","2027","008","OFFICE OF THE ACTUARY","100","PERSONAL SERVICE","1000","OPERATIONS","N","5,622,716","5,577,288","5,580,233","43","42","42","0","0","0"
"20260217","2027","008","OFFICE OF THE ACTUARY","100","PERSONAL SERVICE","1000","OPERATIONS","N","5,622,716","5,577,288","5,580,233","43","42","42","0","0","0"
"20260512","2027","008","OFFICE OF THE ACTUARY","100","PERSONAL SERVICE",,,"Y","-45,428","0","854,365","-1","0","0","0","0","0"
"20260217","2027","008","OFFICE OF THE ACTUARY","100","PERSONAL SERVICE",,,"Y","-45,428","0","0","-1","0","0","0","0","0"
"20260512","2027","008","OFFICE OF THE ACTUARY","200","OTHER THAN PERSONAL SERVICE","1000","OPERATIONS","N","2,076,811","2,036,811","2,069,807","0","0","0","9","9","9"
"20260217","2027","008","OFFICE OF THE ACTUARY","200","OTHER THAN PERSONAL SERVICE","1000","OPERATIONS","N","2,076,811","2,036,811","2,036,811","0","0","0","9","9","9"
"20260512","2027","008","OFFICE OF THE ACTUARY","200","OTHER THAN PERSONAL SERVICE",,,"Y","-40,000","0","-21,266","0","0","0","0","0","0"
"20260512","2027","008","OFFICE OF THE ACTUARY","200","OTHER THAN PERSONAL SERVICE",,,"N","0","63,000","0","0","0","0","0","1","0"
"20260217","2027","008","OFFICE OF THE ACTUARY","200","OTHER THAN PERSONAL SERVICE",,,"Y","-40,000","0","0","0","0","0","0","0","0"
"20260217","2027","008","OFFICE OF THE ACTUARY","200","OTHER THAN PERSONAL SERVICE",,,"N","0","63,000","0","0","0","0","0","1","0"
"20260512","2027","010","BOROUGH PRESIDENT - MANHATTAN","001","PERSONAL SERVICES","0001","OFFICE OF THE BOROUGH PRESIDEN","N","5,219,539","5,045,539","5,222,889","59","59","59","0","0","0"
"20260217","2027","010","BOROUGH PRESIDENT - MANHATTAN","001","PERSONAL SERVICES","0001","OFFICE OF THE BOROUGH PRESIDEN","N","5,219,539","5,045,539","5,222,889","59","59","59","0","0","0"
"20260512","2027","010","BOROUGH PRESIDENT - MANHATTAN","001","PERSONAL SERVICES",,,"Y","-174,000","0","-174,000","-3","-3","-3","0","0","0"
"20260217","2027","010","BOROUGH PRESIDENT - MANHATTAN","001","PERSONAL SERVICES",,,"Y","-174,000","0","-174,000","-3","-3","-3","0","0","0"
